created_at,full_text,Year,Month,Date,Subjectivity,Polarity,SPXCount,CovidCount,Analysis
2020-06-01 16:00,Alphabet - $GOOG    QUOTE $GOOG is UP   on Mon Jun 01 Currently at 1429.46 USD for a 0.04% gain from previous close          ANALYSIS Alphabet should be nationalized      ,2020,6,1,0.2833333333333333,-0.08333333333333333,0,0,Negative
2020-06-01 16:00,TBD Tech Top 3   $AAPL:  -0.86%    $AMZN:  -0.76%    $MSFT:  -0.52%  ,2020,6,1,0.5,0.5,0,0,Positive
2020-06-01 15:59,": $T HBO Max has bumpy start, 'isn't a game changer for AT&amp;T'  - No $ROKU, no business. It's that s…",2020,6,1,0.4,-0.4,0,0,Negative
2020-06-01 15:59,3 Embarrasingly Cheap Dividend Stocks  stocks $BK $HD $CVS ,2020,6,1,0.7,0.4,0,0,Positive
2020-06-01 15:57,"_the_titans   ""The stock market"" is largely a small number of large tech companies.  If people expect them to do well, they'll buy a stake in those companies, even if they're losing money today.  That's what makes prices stay up. Look at the top 20 on this list:  ",2020,6,1,0.4428571428571429,0.15476190476190474,0,0,Positive
2020-06-01 15:57,"Now, compare $IBM vs. $MSFT stock performance over the past five years and it's clear that if companies don't treat employees right, they won't perform to their best abilities in the market place either. It's sad. ",2020,6,1,0.4938095238095238,0.12714285714285714,0,0,Positive
2020-06-01 15:56,$CSOD - Cornerstone OnDemand: Saba Acquisition Should Deepen Its Moat.  investing business stocks,2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:56,$pg +80%  +400% and I buy a new laptop lol,2020,6,1,0.5772727272727273,0.4681818181818182,0,0,Positive
2020-06-01 15:55,"$ES_F $SPY $SPX seeing a breakout, hearing talks of a potential stimulus pkg... gonna wait and see  ",2020,6,1,1.0,0.0,1,0,Neutral
2020-06-01 15:54,"Dow E-mini Futures YM_F  25 Pts (0.1%) to 25,403. Check Advanced Futures Chart with Automatic Fibonacci Lines, Support &amp; Resistance, Futures Money Flow Chart &amp; Alert, Futures VWAP Chart futurestrading Investment investing stocks StockMarket  ",2020,6,1,0.6,0.4,0,0,Positive
2020-06-01 15:54,Stock Analysis today for Alphabet  $GOOG $GOOGL Netflix  $NFLX $NVDA NVIDIA    elliottwave tradingoptions stocks cfds trading investing ,2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:53,"They say the stock market prices in the future. Today the markets are higher... close to ATH.   If the god of equities can tell us wtf it’s looking at, that would be great bc some shits going down... and I’m confused.   Thanks.  $SPY $TSLA $AAPL $FB $FAANG",2020,6,1,0.5091269841269842,0.027777777777777783,0,0,Positive
2020-06-01 15:53,$PDSB 1.32 watch 1.38 BREAKOUT  Stocks Bullish Trading Finance StockMarket Investment Million Daytrading like Instadaily Invest Motivation Instagood SwingTrading takeprofit Watchlist Premarket Trader Trading Money follow business instafollow entrepreneur ,2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:52,"HBO Max has bumpy start, 'isn't a game changer for AT&amp;T,' analyst says $T $DIS $ROKU $AMZN ",2020,6,1,0.4,-0.4,0,0,Negative
2020-06-01 15:52,"Measures the avg size of each insider sales transaction (i.e. avg proportion of an insider's existing holdings being sold). 5dEMA; Over 5,000 different ticker symbols used. 2nd chart shows actual %, 1st chart is mean-scaled. $SPX $SPY $VIX $ES_F $ES protests2020 $XLF $AAPL $XLK ",2020,6,1,0.2333333333333333,0.0,1,0,Neutral
2020-06-01 15:51,S&amp;P 500 | $SPX500USD | $SPX500 $USD  SP500  Long or short it with BTC on Trade8:  ,2020,6,1,0.35,-0.025,3,0,Negative
2020-06-01 15:50,: (6/n)  Annual net FII inflows trend (image 1)  Sector-wise ownership of NSE stocks: (Image 2) - Realestate has highest pro…,2020,6,1,0.6666666666666666,-0.5,0,0,Negative
2020-06-01 15:49,$YANG Technical Analysis Score Update (TA Score) stocks StockMarket Investment investing    ,2020,6,1,0.1,0.0,0,0,Neutral
2020-06-01 15:48, _JackSparrow but it will be like 1 or 2 days to take it down it will be fast to run all stop losses from BULLS --- its a fucking insane scam situation like SP500,2020,6,1,0.6296296296296297,-0.3185185185185185,1,0,Negative
2020-06-01 15:47,T3 Velocity mix  prorealtime trading markets stockmarket trader stocks investing money forex bitcoin cryptocurrency finance prorealtime,2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:47,Possible last trade for me here ... $AAPL 6/5 310 puts with size @ 1.08,2020,6,1,0.5333333333333333,0.0,0,0,Neutral
2020-06-01 15:47,"AQR Capital Management, LLC short position in WEIR GROUP PLC/THE down -0.10% to 1.39% WEIR $WEIR LSE StockMarket Stocks Shares Business Markets Trading News Investing ShortSqueeze ",2020,6,1,0.29444444444444445,-0.07777777777777779,0,0,Negative
2020-06-01 15:47,Marshall Wace LLP short position in PLUS500 LTD up 0.03% to 0.51% PLUS $PLUS LSE StockMarket Stocks Shares Business Markets Trading News Investing Short ,2020,6,1,0.3,0.0,0,0,Neutral
2020-06-01 15:47,Voleon Capital Management LP short position in Kier Group plc down -0.09% to 0.79% KIE $KIE LSE StockMarket Stocks Shares Business Markets Trading News Investing ShortSqueeze ,2020,6,1,0.29444444444444445,-0.07777777777777779,0,0,Negative
2020-06-01 15:47,Marshall Wace LLP short position in DOMINO'S PIZZA GROUP PLC up 0.02% to 0.50% DOM $DOM LSE StockMarket Stocks Shares Business Markets Trading News Investing Short ,2020,6,1,0.3,0.0,0,0,Neutral
2020-06-01 15:46,: $AAPL's forward multiple has increased by 30% since February 16. Forward P/E of 20.6 then versus 26.8 now.,2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:46,: This quote from Merck’s Ken Frazier on  this morning rings so loud.   $MRK ,2020,6,1,0.8,0.1,0,0,Positive
2020-06-01 15:46,: This quote from Merck’s Ken Frazier on  this morning rings so loud.   $MRK ,2020,6,1,0.8,0.1,0,0,Positive
2020-06-01 15:45,"Monday TWO HOURS IN with Dow +43 we are at +$8,666 with $DBD $JNUG $BYND  stocks ",2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:44,"Tomorrow's Indian Stock Market Trading View  TATA STEEL, SBIN, M&amp;M, JSW STEEL    StockMarket Trading Stocks TechnicalAnalysis YouTube YouTubeLive NIFTY ShareMarket stockstowatch StocksToTrade stocks StockMarketUpdate StockTrading",2020,6,1,0.0,0.0,0,0,Neutral
2020-06-01 15:43,: This quote from Merck’s Ken Frazier on  this morning rings so loud.   $MRK ,2020,6,1,0.8,0.1,0,0,Positive
2020-06-01 15:43,"""If you were working for Amazon how would you deliver, pick up, and transport COVID19 test kits?"" -Amazon during interview. $AMZN Cc  Corona testing coming to an Amazon near you.",2020,6,1,0.4,0.1,0,1,Positive
2020-06-01 15:42,: Junior miners have been stuck in a trading range for the past 7-years. Will it finally break free? $GDXJ $GLD $GDX $SPX…,2020,6,1,0.6833333333333332,0.05000000000000001,1,0,Positive
2020-06-01 15:42,The S&amp;P 500 is well renowned for its growth and rate of return. Here's why I think it's such a strong investment!  SP500 investing StockMarket vanguard  ,2020,6,1,0.6166666666666667,0.2708333333333333,1,0,Positive
2020-06-01 15:41," Dear sir, stock market is rallying back to ATH soon. That’s a vote of confidence $spx",2020,6,1,0.0,0.0,1,0,Neutral
2020-06-01 15:40,Don’t Expect Pfizer’s Bad Reaction to Last $PFE $BNTX ,2020,6,1,0.36666666666666653,-0.3499999999999999,0,0,Negative
2020-06-01 15:40,US Manufacturing 'Soft' Survey Data Disappoints With Modest Rebound  $SPY $QQQ $DJIA $DIA stockmarket investing finance stocks gold silver $SLV $TWTR $GLD $AAPL $TSLA $AMZN $NFLX $INTC $AMD economy,2020,6,1,0.625,0.1,0,0,Positive
2020-06-01 15:39,"""Just a Coincidence"": Market Suddenly Soars As Schwab &amp; Robinhood Suffer Outages  $SPY $QQQ $DJIA $DIA stockmarket investing finance stocks gold silver $SLV $TWTR $GLD $AAPL $TSLA $AMZN $NFLX $INTC $AMD economy",2020,6,1,0.5,0.0,0,0,Neutral
